Explainable artificial intelligence, Case-based reasoning, Time series, Example-based explanation,,,,,,,,,,,,,
Seismic station, Site selection, Power spectral density, Probability density function, capsule, services used, documentation/manual,,,,,,,,,,
SDN, ONOS, Machine learning, Flow classification,,,,,,,,,,,,,
Acute phase, Stroke, Neurorehabilitation technology, Speech and language therapist,,,,,,,,,,,,,
Covariate-specific treatment effect curve, Individualized treatment rule, Optimal treatment selection, R-Shiny,,,,,,,,,,,,,
Text segmentation, N-grams, Unigram sequence, R package,,,,,,,,,,,,,
Software team formation, Intelligent software engineering, Genetic algorithms,,,,,,,,,,,,,,
Software version control systems, Merge conflicts, Conflict resolution, Semi-structured merge, Continuous integration,,,,,,,,,,,,
Pareto-front representation, Multiple-criteria model analysis, Pareto-front visualization, Clustering, Pyomo modeling language, Structured modeling,,,,,,,,,,,
Stabilization, OpenCV, Spectroscopy, Quantum dots,,,,,,,,,,,,,
Environmental pollution, Chemicals, Ecotoxicology, Bioassay,,,,,,,,,,,,,
Solar magnetograms, Transformation, Augmentation,,,,,,,,,,,,,,
Video mosaic, Seabed mapping, Image manipulation,,,,,,,,,,,,,,
Structural dynamics, Vibration analysis, Torsional vibration, Rotor dynamics,,,,,,,,,,,,,
Discrete Element Method - DEM, Liquid bridge, Capillary force, Particle sizes,,,,,,,,,,,,,
Experimental control, Laboratory automation, Quantum measurement, Hardware abstraction, Data stream manipulation, Instrument-as-a-Service,,,,,,,,,,,
Chemical reaction networks, Automated DFT calculations, KEGG, Free energy calculations, SMARTS reactions, Cheminformatics, Toy chemistry, Paper organic chemistry,,,,,,,,,
Optimization, Automatic adjoint, Finite element method,,,,,,,,,,,,,,
C plus plus, Parallel computing, High-performance computing,,,,,,,,,,,,,,
Bioinformatics, Cytoscape, Gene networks, Network analysis, Visualisation,,,,,,,,,,,,
Materials science, Global structure search,,,,,,,,,,,,,,,
Modelica, Multi-domain motor models, Power systems, Power grid, OpenIPSL, OpenIMDML,,,,,,,,,,,
Distributed index, Index placement, Deep reinforcement learning, Autonomous database,,,,,,,,,,,,,
ANS, Power spectral analysis, Cross correlation, Beat-to-beat,,,,,,,,,,,,,
Complexity, Nonlinear regression, Correlation pattern recognition, Python,,,,,,,,,,,,,
Open-source framework, Cardiac magnetic resonance imaging, Computer-assisted methods, Heart diagnostic imaging, Image processing, Real-time imaging,,,,,,,,,,,
Arbitrary precision arithmetic, Integer numbers, Rational numbers, Floating point numbers, Java,,,,,,,,,,,,
Hyperbox-based machine learning, Hyperbox fuzzy sets, Fuzzy min-max neural networks, General fuzzy min-max neural network, Explainable machine learning, Classifier,,,,,,,,,,,
Neural networks, Backdoor attacks, Backdoor defenses, Framework,,,,,,,,,,,,,
Android, Static analysis, Software analysis, Mobile apps,,,,,,,,,,,,,
Agriculture, Climate, Crop variety evaluation, Field trials,,,,,,,,,,,,,
HS-Solver, Harmony search algorithm, MS-Excel, Global optimization,,,,,,,,,,,,,
Drone forensics, Forensic timeline, Autopsy, Log2timeline,,,,,,,,,,,,,
Numerical solution, Electromagnetics, One-dimensional, Arbitrarily oriented dipole, Integral equation,,,,,,,,,,,,
Machine learning, Security, Adversarial attacks, Explainability, Python3,,,,,,,,,,,,
Diffusion MRI, QTI, Constrained estimation, Microscopic anisotropy,,,,,,,,,,,,,
Laboratory automation, Device integration, SiLA2, Data integrity, Biotechnology, Life sciences, Software framework, Web application, IoT,,,,,,,,
Data cleaning, Missing values, Outliers, Anomaly detection, Time series, Robust preprocessing, Energy system data,,,,,,,,,,
Systems of linear algebraic equations, Krylov subspace iterative methods, Algebraic multigrid method, Multiple right-hand sides, Hybrid programming model, MPI plus POSIX shared memory,,,,,,,,,,,
Gravitational waves, Neutron stars, Black holes, Multi-messenger astrophysics, Data analysis,,,,,,,,,,,,
Finite volume method, CFD, Convection-diffusion, Navier-Stokes, PETSc,,,,,,,,,,,,
Complete Lyapunov functions, C plus, Scientific computing, Dynamical systems, Autonomous ordinary differential equations,,,,,,,,,,,,
Coastal monitoring, Surf-cameras, Camera calibration, Photogrammetry, Lidar,,,,,,,,,,,,
High-performance computing (HPC), Scalable I/O, Luster GPFS file systems, Staging, RDMA, Data science, In-situ, Exascale computing,,,,,,,,,
Hydro-acoustics, Biomass estimation, Fisheries management, Marine science, Oceanography,,,,,,,,,,,,
Radio astronomy, Fast radio bursts, Transients,,,,,,,,,,,,,,
Battery, Cycling experiments, Python, Data management, Machine-learning,,,,,,,,,,,,
CyberGIS, Line similarity assessment, Hydrography, National Hydrography Dataset,,,,,,,,,,,,,
Visual modeling, Knowledge base, Rules, RVML, Conceptual models,,,,,,,,,,,,
Material model, Material characterization, Metal forming,,,,,,,,,,,,,,
Data structures, Goal-oriented adaptivity, Space-time finite elements, Dual weighted residual method,,,,,,,,,,,,,
Software reliability engineering, Software reliability growth model, Software Failure and Reliability Assessment, Tool, Open source, R programming language, GitHub,,,,,,,,,,
Free energy perturbation, Empirical valence bond, Molecular dynamics simulations, Path integral calculations,,,,,,,,,,,,,
Longitudinal surveys, Android, Social interaction, GPS, Behaviour research, Social research, Smartphone-based data collection, GIS, e-research,,,,,,,,
BPMN, Multi-format-parsing, Graph-transformation, Cross-platform, Model-transformation, Interoperability,,,,,,,,,,,
Abaqus automation, Geometric imperfection, Static-Riks, Bolted splice, Parametric finite element, Steel stability,,,,,,,,,,,
Live-system forensics, Forensic software, Data extraction, Rust, Digital security, Incident response,,,,,,,,,,,
Benchmarking, Quantum computing, Quantum annealing, Combinatorial optimization, Hybrid algorithms,,,,,,,,,,,,
Similarity, Visualization, Case-based reasoning, Taxonomy,,,,,,,,,,,,,
Particle accelerators, High-energy physics, Machine learning, Optimization, Python, Reinforcement learning,,,,,,,,,,,
Earth science modelling, ROMS, Atmospheric forcing, Python, Automation,,,,,,,,,,,,
Data assimilation, EnKF, LETKF, Python, Educational tools, Numerical modeling,,,,,,,,,,,
Dimensional analysis, Buckingham r theorem, Python,,,,,,,,,,,,,,
Text classification, Natural language processing, Data augmentation, Retrieval-augmented generation, Automatic coding, Qualitative research, Bioeconomy,,,,,,,,,,
Graphical user interface, MATLAB, Modal analysis, Optimal sensor placement, SAP2000, Structural dynamics,,,,,,,,,,,
Medical imaging, Diagnostic value, Subjective assessment, Machine learning,,,,,,,,,,,,,
Precision matrices, Cholesky decomposition, Atmospheric modeling, Data assimilation, Sparse estimation, Ensemble modeling,,,,,,,,,,,
ROS, Linux driver, Radar sensor, ARS 548,,,,,,,,,,,,,
Tidal energy, Fes2014b Tide Model, MATLAB,,,,,,,,,,,,,,
Student retention, Educational data mining, Machine learning algorithms, Data visualization, Mindanao State University,,,,,,,,,,,,
Optical character recognition, Baybayin, Automated Baybayin reader, GUI Matlab,,,,,,,,,,,,,
Leo satellites, Broadcast ephemeris, Automatic differentiation, Fitting accuracy,,,,,,,,,,,,,
AutoML, Classification, Nature-inspired algorithms, Optimization,,,,,,,,,,,,,
Landfill, 3D model, Synthetic data generation, Blender, Waste,,,,,,,,,,,,
Presentation video, Summarization, Audio data, Image data, Optical character recognition,,,,,,,,,,,,
Acoustic doppler velocimeter (ADV), Water dynamics research, Open-source package, Signal processing in geosciences, Data Processing Toolkit, Velocity Series Despiking,,,,,,,,,,,
Sustainable drainage systems (SUDS), Zero hydrological impact (ZHI), Urban Hydrological Impact (UHI), Stormwater,,,,,,,,,,,,,
Cloud, Edge, FaaS platform, K3s cluster,,,,,,,,,,,,,
Database, Multi -modelling, Batch computing,,,,,,,,,,,,,,
Spatial statistics, Forecasting, Influence diagnostics, Censoring,,,,,,,,,,,,,
Container security, Cybersecurity, Data leakage,,,,,,,,,,,,,,
Radiative cooling, Cooling flux, Time-domain outdoor simulation, Global cooling flux map,,,,,,,,,,,,,
Machine translation, Corpus generation, Crowdsourcing,,,,,,,,,,,,,,
Image Quality Assessment, Hyperspectral Imaging, Pan-sharpening, Toolbox, Perceptual image quality, MATLAB,,,,,,,,,,,
Decision-making support, Images classification, Deep learning, Machine learning,,,,,,,,,,,,,
Mixed integer programming, Network connectivity, Arc routing, Emergency operations, Natural hazard,,,,,,,,,,,,
Gas hydrate, Visualization, Permeability, Data processing, Energy,,,,,,,,,,,,
Motion tracking, Motion analysis, Python,,,,,,,,,,,,,,
Sediment disposal, Dynamic plume, Near-field model, MATLAB,,,,,,,,,,,,,
Programming, Educational software testing, Automated assessment tools, Feedback,,,,,,,,,,,,,
Finite element method, Roughness, Abaqus, Surface interaction, Contact,,,,,,,,,,,,
Data analysis, Microscopy, Single -bacterium tracking,,,,,,,,,,,,,,
Graphs, Networks, Temporal networks, Hypergraphs,,,,,,,,,,,,,
Dataset, Water end-use data, Data modelling, Water management, Users? profiling,,,,,,,,,,,,
Geographic vector mapping, Geospatial big data, Parallel mapping,,,,,,,,,,,,,,
Arrhythmia, Electrocardiogram, ECG, Deep learning, Convolutional neural networks,,,,,,,,,,,,
Intrusion Response System, Self-protection, Self-adaptation,,,,,,,,,,,,,,
C#, .NET Core, Angular, Dynamic GUI, Clean architecture, SPA, Science gateways,,,,,,,,,,
Autolt, Rheology, RheoPlus, Soil,,,,,,,,,,,,,
Graphs, Machine Learning, TensorFlow, Keras, Graph Neural Networks,,,,,,,,,,,,
Software reliability, Software reliability growth model, Covariates, Test activity allocation,,,,,,,,,,,,,
Optimisation framework, Power scheduling algorithm, Multi-energy systems, Smart grid,,,,,,,,,,,,,
Disease progression modeling, Disease heterogeneity, Disease subtyping, Disease staging,,,,,,,,,,,,,
LAOS (large amplitude oscillatory shear), Rheology, Viscoelastic materials, R,,,,,,,,,,,,,
Python, Neutrosophic, Normalization,,,,,,,,,,,,,,
Time series, Machine learning, Feature extraction, Python,,,,,,,,,,,,,
Time-to-solution, Parallel computing, Reactive molecular dynamics,,,,,,,,,,,,,,
Hilbert-Kunz multiplicity, F-signature, Intersection algebras,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Multisensor time-frequency analysis, Direction of arrival, Automated component separation, Blind source separation, Non-stationary array processing, Cross-channel causality analysis,,,,,,,,,,,
Evolutionary dynamics, Game theory, Mathematica, Phase portrait, Stability,,,,,,,,,,,,
Electrical Impedance Tomography, Inverse problems, Finite element method, Unstructrual mesh,,,,,,,,,,,,,
Braided composites, Analytical model, Elastic properties, Composite materials,,,,,,,,,,,,,
Structural properties, Cross sectional modeling, Inhomogeneous structures, Geometrical complex structures,,,,,,,,,,,,,
Memory management, Physical memory limitations, Abstraction library, System paging, Open source, MPI/OpenMP,,,,,,,,,,,
Graph cuts, Fracture, Microstructure, Image analysis, Crack path prediction,,,,,,,,,,,,
Energy balance model, Full multigrid algorithm, Seasonal surface temperature,,,,,,,,,,,,,,
GlioMap, Segmentation, Radiomic features, Morphological features, Brain MRI, Feature calculation,,,,,,,,,,,
IEEE 1588, PTP, Embedded systems, Microcontrollers, Clock synchronization, Networked systems,,,,,,,,,,,
Scientific workflows, Pipeline architecture, Hash-based caching, Reproducible research, Software engineering practices,,,,,,,,,,,,
Portfolio optimization, Technical indicators, Risk-adjusted returns, Stock selection strategies,,,,,,,,,,,,,
Docker, Microservices, Orchestration, Automation, DevOps, CI/CD,,,,,,,,,,,
Process simulation, Topography evolution, Plasma etching simulation,,,,,,,,,,,,,,
Semantic segmentation, Performance evaluation, Visualization software, PyQt5,,,,,,,,,,,,,
Neutrosophic logic, Neutrosophic statistics, Neutrosophic distribution, Simulation,,,,,,,,,,,,,
Vulnerability detection, Security, Benchmark, Software analysis, Data visualization, AI vs Static tools,,,,,,,,,,,
qNMR, Web application, Quantification, Complex mixture analysis, Wasserstein distance,,,,,,,,,,,,
Fuzzy model reference adaptive control, Multi-input-multi-output systems, Interpretability, MATLAB/Simulink,,,,,,,,,,,,,
Transversal skills, Multimodal analysis, Granular linguistic model, Assessment tool,,,,,,,,,,,,,
Social Vulnerability, Geovisual analytics, CyberGIS, Disaster, Coordinated Multiple Views, Neighborhood,,,,,,,,,,,
Elastic neutron scattering, Neutron diffraction, Visualization tool, Powder diffraction,,,,,,,,,,,,,
Charge scheduling, Electric vehicle, Energy system, Fleet management, Investment optimization, Linear programming, Open source,,,,,,,,,,
Flowers detection, Machine learning, Deep learning, Computer vision, Instance segmentation, Forage grasses,,,,,,,,,,,
Shoreline evolution, Free GIS tool, Area-based analysis, Coastal monitoring, Tool update,,,,,,,,,,,,
Cortical network, Computational modeling, Microscale neural model, Interictal events simulation, Epilepsy, Local field potential,,,,,,,,,,,
Interactive floor, Image processing, Blob detection, Motion tracking,,,,,,,,,,,,,
Environmental data management, Time series data, Sensor management, Automated quality control, Data integration, Metadata, FAIR principles, Data infrastructure, Scalable data infrastructure, Cloud-ready infrastructure,,,,,,,
Tokamak, Integrated modeling, IMAS Data Dictionary, Ontology, Data integration,,,,,,,,,,,,
Robotic Process Automation (RPA), Automated RPA Script Generation, SW Robots, User Interface (UI) Logs,,,,,,,,,,,,,
Button mushroom, Software, Education, Digital twin,,,,,,,,,,,,,
S-box generation, Cryptographic security, Heuristic optimization, Simulated annealing,,,,,,,,,,,,,
CUDA, Computer tomography, Medical image segmentation,,,,,,,,,,,,,,
Deep learning, Machine learning, Prototyping, Python framework,,,,,,,,,,,,,
UAV, Radio, Path loss, Simulation, Model, Communications,,,,,,,,,,,
Shiny, Time-series, Visualization,,,,,,,,,,,,,,
Python, Software, Transients, Galaxies,,,,,,,,,,,,,
SNN, CSNN, RSNN, SNN-ED, Periodic extension,,,,,,,,,,,,
Graphical User Interface, Wheelchair control, Posture recognition, Optical fiber sensors,,,,,,,,,,,,,
Time-series, Heterogeneous medical data, Machine learning, Python, AI model development,,,,,,,,,,,,
QGIS, Deep learning, Remote sensing, Segmentation, Object detection,,,,,,,,,,,,
Precision agriculture, Vegetation index, Web platform,,,,,,,,,,,,,,
Message passing communication, Modelica,,,,,,,,,,,,,,,
Walkable cities, Green cities, Sustainable urban forms, E-planning, Low carbon cities, future cities,,,,,,,,,,,
Command-line tool, Bias correction, Climatic research, C plus plus,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Information discovery, Multimedia documents, Search engine, Exploratory search,,,,,,,,,,,,,
Software, Tool, Deep learning, Super-resolution, Image,,,,,,,,,,,,
Compressible flow, Finite volume method, Unstructured grids, Python,,,,,,,,,,,,,
Generalized nonlinear Schr?dinger, equation, Quantum noise, Spectral coherence, Python,,,,,,,,,,,,
C plus, Weather, Climate, Library, Embedded DSL,,,,,,,,,,,,
Quantum dynamics simulation, Quantum computing,,,,,,,,,,,,,,,
Optimization, Benchmark, Landscape analysis, Space mission trajectory,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Evolutionary robotics, Soft robotics, Optimization, Learning,,,,,,,,,,,,,
Nnanoplasmonic thin films, Optical sensing, LSPR band analysis,,,,,,,,,,,,,,
Flowsheet simulation, Dynamic modelling, Multidimensional distributed parameters, Granular materials, Solids processes,,,,,,,,,,,,
Multifractal, Lacunarity, Configuration entropy, ImageJ,,,,,,,,,,,,,
Custom fit clothing, DXF-ASTM, Automated manufacturing, Industry 4.0,,,,,,,,,,,,,
Single-molecule analysis, single-channel analysis, bursts, ion channel, kinetic fitting,,,,,,,,,,,,
Spatial harmonic analysis, Eigenanalysis of the discrete, Laplace-Beltrami operator, Generalized spatial Fourier analysis, Spatial filtering, Online filtering, EEG Data Processing,,,,,,,,,,
Web crawler, Web scraper, Text similarity, Social networks,,,,,,,,,,,,,
Groundwater modelling, Land subsidence, FEFLOW Biot's theory, Fully coupled hydro-mechanics,,,,,,,,,,,,,
Smartphone, XBRL, Benford's law,,,,,,,,,,,,,,
Python, TOPSIS,,,,,,,,,,,,,,,
3D model, Geological model, Meshing, Manual model building, Numerical methods, Java,,,,,,,,,,,
Electronic structure, Quantum chemistry, Hartree-Fock, Kohn-Sham density functional theory,,,,,,,,,,,,,
X-ray and neutron diffraction, Simulation, GPU,,,,,,,,,,,,,,
CAS, Code-generation, Ruby,,,,,,,,,,,,,,
Isotope effects, Vibrational frequencies, Computational chemistry, Fortran,,,,,,,,,,,,,
Knowledge management, Workflow, MCP, Large language models,,,,,,,,,,,,,
Web application, City logistics, Traffic data analysis, Dispersion model,,,,,,,,,,,,,
Scientific visualisation, Modular platform, Open-source, VisNow,,,,,,,,,,,,,
Helmholtz coils, ADCS, Biot-Savart law, Genetic algorithms, In-the-loop testing,,,,,,,,,,,,
Hate speech, AI agent, RAG, LLMs,,,,,,,,,,,,,
Multi-criteria decision making, Evolutionary algorithms, Multi-objective optimization, Computational framework,,,,,,,,,,,,,
Topic modeling, Non-negative matrix factorization, Python, Natural language processing, Information retrieval,,,,,,,,,,,,
AES, Throughput, Virtual private network, VPN, WireGuard,,,,,,,,,,,,
Digital Twin Ecosystems, Web architecture, Hypermedia, Interoperability,,,,,,,,,,,,,
Open-source, Python 3, Thermo-hydro-mechanical coupling, Large-strain consolidation, Ground settlement, Frost heave, Cold regions engineering,,,,,,,,,,
Decision modelling, Multi-criteria decision making, Decision analysis, Method DEX (Decision EXpert),,,,,,,,,,,,,
Agent-based modelling simulation, Web service, Annotation processing, Message broker middleware, High-performance computing resource, Web-based visualization,,,,,,,,,,,
Indoor localization, Performance evaluation, Smartphone-based positioning,,,,,,,,,,,,,,
Crop coefficient, Evapotranspiration, Irrigation, Management, Precision agriculture, Water,,,,,,,,,,,
Action rules, Apriori algorithm, Data mining, Counterfactual explanations, Python,,,,,,,,,,,,
Python, MPI, Numba, JIT, Multi-threading, LLVM, mpi4py,,,,,,,,,,
Green coffee beans, Computer vision evaluation scheme, Color characteristics, Machine learning classifier,,,,,,,,,,,,,
Particle tracking, Streamlines, Multicore simulations, Finite element, Finite differences, Meshfree,,,,,,,,,,,
Computational fluid dynamics (CFD), Discrete element method (DEM), Non-spherical particles, OpenFOAM,,,,,,,,,,,,,
Deep learning, Poverty, SDG1, Earth observation, Socioeconomic indices,,,,,,,,,,,,
Uncertainty modeling, Interval-valued fuzzy sets, Interval-valued fuzzy inference system (IFIS), Python, Computational intelligence, Advanced reasoning algorithms,,,,,,,,,,,
Evaluation tool, Autonomous driving, Imitation learning,,,,,,,,,,,,,,
Quantum optics, Quantum computation, Numerical method,,,,,,,,,,,,,,
PDE constrained optimization Shape optimization Topology optimization Space mapping,,,,,,,,,,,,,,,,
Primary producers, Low tide, Coverage, Environmental management, Google earth engine, Python,,,,,,,,,,,
Multi-target prediction, Multi-label classification, Multivariate regression, Multi-task learning,,,,,,,,,,,,,
Dataset, Mobile robotics, Relational database, Python, Jupyter, Google Colab,,,,,,,,,,,
Triple-axis spectroscopy, Motion planning, Collision detection,,,,,,,,,,,,,,
Global optimization, Metaheuristics, Framework,,,,,,,,,,,,,,
Ray tracing, Concentrating solar power, Photovoltaic solar cell, Solar optics,,,,,,,,,,,,,
Peridynamics, User material, UMAT, Interface, Material modeling, Damage model,,,,,,,,,,,
Explainable Artificial Intelligence, Machine Learning interpretability, Restful API, Flask, Behaviour trees,,,,,,,,,,,,
PIV, Fluid mechanics, Velocimetry, Open-CL, GPU, Python,,,,,,,,,,,
Movement, Sports, Dance, Rehabilitation, Pose annotation, Feedback,,,,,,,,,,,
Mixed precision, Compiler, Approximate computing,,,,,,,,,,,,,,
Classifiability analysis, Discriminative task, Python,,,,,,,,,,,,,,
Heat, Cold, Thermal comfort, Weather forecasting, Python,,,,,,,,,,,,
Blender add-on, Structure from Motion (SfM), 3D reconstruction evaluation, Synthetic data generation,,,,,,,,,,,,,
Control-command, Acquisition, Python, Experimental setup,,,,,,,,,,,,,
Minkowski functionals, Minkowski functions, Morphological operations, Python,,,,,,,,,,,,,
GP-GPU computing, Heterogeneous architectures, High performance computing,,,,,,,,,,,,,,
Power sector modeling, Open-source modeling, GAMS, Python, Energy storage, Flexibility options, Sector coupling, Renewable energy integration,,,,,,,,,
Molecular dynamics, Machine learning, Differential equation solver,,,,,,,,,,,,,,
Lateral flow assay (LFA), Lateral flow immunoassay (LFIA), Point of care test (POCT), Test line quantification, Readout zone quantification, Diagnostics, Computer vision, QR code, Rapid testing, Rapid diagnostic tests (RTD),,,,,,,
Sepsis, Covid-19, SIRS, qSOFA, SOFA, Septic shock, Bayesian Online Change Point Detection,,,,,,,,,,
X-ray reflectivity, Grazing incidence X-ray reflectometry, Coatings, Simulation, Fitting,,,,,,,,,,,,
Partially ionized gases, Thermochemical nonequilibrium, Multiphase equilibrium, Gas-surface interaction,,,,,,,,,,,,,
HTM, Sequence memory, Neural modeling,,,,,,,,,,,,,,
Python, Linear algebra, Inverse problems, Optimization, Linear operator,,,,,,,,,,,,
Image processing, Image enhancement, Neutron imaging,,,,,,,,,,,,,,
Django, Real estate, RETS, Machine learning,,,,,,,,,,,,,
Imbalanced classification, R language, Integrated library, Parallel implementation,,,,,,,,,,,,,
SAML, OpenStack, Research loud, eduGAIN,,,,,,,,,,,,,
Git, Virtual file system, Mining software repositories, Unix shell,,,,,,,,,,,,,
Elmer, FEM, OpenFOAM, FVM, CFD, MPI,,,,,,,,,,,
Interdependent networks, Mutually connected clusters, Percolation, Hybrid phase transition, Euler tour tree,,,,,,,,,,,,
Irrigation management, Soil moisture, Crop dynamics, Agro-hydrology,,,,,,,,,,,,,
Truss, Buckling, Frequency, Mathematica,,,,,,,,,,,,,
Optimization methods, Domain, Knowledge structuring, Exploratory study,,,,,,,,,,,,,
Triple-axis spectroscopy, Instrument control, Reciprocal and real space visualisation, Brillouin zones, Instrumental resolution,,,,,,,,,,,,
Genetic algorithms, Hyperparameter tuning, Machine learning, Python library, Search space,,,,,,,,,,,,
You only look at interested cells (YOLIC), Image annotation, Cell-wise image labeling, Segment anything model (SAM),,,,,,,,,,,,,
Cloth simulation, Gesture interaction, Hand tracking, Position-Based Dynamics (PBD),,,,,,,,,,,,,
Quantum circuit simulator, Quantum circuit editor, Quantum software, Quirk-E,,,,,,,,,,,,,
Technology planning, Capacity expansion, Industrial energy model, Energy systems optimization,,,,,,,,,,,,,
Bioreactor, Mathematical modeling, CHO,,,,,,,,,,,,,,
OpenAlex, Bibliometric analysis, Metadata enrichment, Scholarly communication, Research trend detection, Knowledge mapping,,,,,,,,,,,
Network science, Dynamic graphs, Temporal networks,,,,,,,,,,,,,,
Power Usage Effectiveness, Deep Learning, Data center optimization, Digital twins, Power Usage Effectiveness, Deep Learning, Data center optimization, Digital twins, Power Usage Effectiveness, Deep Learning, Data center optimization, Digital twins,,,,,
Kinematics, Mining, IEC 61131-3,,,,,,,,,,,,,,
Opinion dynamics, Social networks, Opinion polarization, Echo chamber,,,,,,,,,,,,,
Expectation-maximization algorithm, Robust statistics, Structural equation modeling, Latent variables, Factor analysis,,,,,,,,,,,,
Density functional theory, Electronic structure, Education, Python programming language,,,,,,,,,,,,,
Reaction mechanisms, Optimization, Python toolbox,,,,,,,,,,,,,,
